address,latitude,longitude,source,area,pincode
"f 88, chandranager so, vadodara, Gujarat - 390019",22.3019332,73.2375025,openstreetmap,,
"319, Ajwa Road, Vadodara, Gujarat - Gujarat 390019",22.3073537,73.1811551,openstreetmap,,
"Hemdeep Society, 14, Vadodara, Gujarat",22.2981589,73.1611143,openstreetmap,,
"113, Phonix Complex, Sayaji gunj, Vadodara, Gujarat - 390001",22.3071955,73.1812301,openstreetmap,,
"101, Old Padra Road, Vadodara, Gujarat - 390007",22.30613,73.1655462,openstreetmap,,
"62, Jetalpur Road, Ahmedabad, Gujarat",22.3073537,73.1811615,openstreetmap,,
"P-51, Samrajya-1, Akota- Munjmahuda, Vadodara, Gujarat - 390020",22.2892704,73.1703061,openstreetmap,,
"1 Geri Compound, Race Course Road, Vadodara, Gujarat",22.3139225,73.1617102,openstreetmap,,
"9/10, Rajmahal road, Vadodara, Gujarat",22.2889715,73.1944002,openstreetmap,,
"104, Shivani Flats First Floor,Behind Bank of India, Shubhanpura, Vadodara, Gujarat - 390023",22.3183867,73.1597648,openstreetmap,,
"504, Ocean complex,opposite vadodara central mall,Genda Circle, vadodara, Gujarat - 390007",22.3178533,73.1690144,openstreetmap,,
"14, Friends Co-op Society, Vadodara, Gujarat - 390007",22.311994,73.1687578,openstreetmap,,
"Inorbit mall, Subhanpura, Vadodara, Gujarat",22.3219443,73.1654796,openstreetmap,,
"Vadodara Central, Genda Cir, Alkapuri, Vadodara, Gujarat, Gujarat",22.3171604,73.1682542,openstreetmap,,
"The New World, Manisha Chowkdi, Vadodara, Gujarat, Gujarat",22.2970337,73.1649712,openstreetmap,,
"Eva Mall Patider, near saraswati complex, Vadodara, Gujarat",22.2727018,73.1904577,openstreetmap,,
"Chikuwadi, Haripura, Old Padra Road, Vadodara, Gujarat",22.3076346,73.1659044,openstreetmap,,
"Jayesh Colony, Fatehgunj, Vadodara, Gujarat",22.3228945,73.1867698,openstreetmap,,
"Sun Buildings, Race Course Road, Vadodara, Gujarat",22.3089875,73.1603544,openstreetmap,,
"Inorbit Mall Vadodara, Subhanpura, Vadodara, Gujarat",22.3223768,73.1655062,openstreetmap,,
"Sai Rutu Manjalpur, Sarawati road, Vadodara, Gujarat",22.2709058,73.1944365,openstreetmap,,
"GIDC Industrial Area, Manjalpur, Vadodara, Gujarat",22.2710488,73.1941976,openstreetmap,,
"Central Mall Genda, Genda Circle, vadodara, Gujarat",22.3173237,73.1699104,openstreetmap,,
